index,time,freq,tau
73,2017-01-03 09:51:42.482000,2.1022466888e+08,3.2263260028e-04
74,2017-01-03 09:53:42.385000,2.1022522294e+08,3.4917205405e-04
75,2017-01-03 10:00:16.819000,2.1022499863e+08,2.4340165885e-04
76,2017-01-03 10:01:26.115000,2.1022447615e+08,2.9377721577e-04
77,2017-01-03 10:02:24.817000,2.1022479342e+08,4.4486057328e-04
78,2017-01-03 11:01:59.429000,2.1022435738e+08,4.1294607180e-04
79,2017-01-03 11:07:29.781000,2.1022446741e+08,2.9996532423e-04
80,2017-01-03 11:13:01.424000,2.1022458056e+08,3.5449113199e-04
81,2017-01-03 11:18:31.701000,2.1022428401e+08,4.1781599492e-04
82,2017-01-03 11:24:01.989000,2.1022419824e+08,3.4817789179e-04
83,2017-01-03 11:29:32.995000,2.1022410151e+08,3.6703460428e-04
84,2017-01-03 11:35:03.359000,2.1022443054e+08,4.0113640246e-04
85,2017-01-03 11:40:33.520000,2.1022298697e+08,2.7730438705e-04
86,2017-01-03 11:46:05.518000,2.1022281280e+08,3.1580240786e-04
87,2017-01-03 11:51:36.431000,2.1022184860e+08,3.6337015596e-04
88,2017-01-03 11:57:06.799000,2.1022130048e+08,3.5205101698e-04
89,2017-01-03 12:02:40.316000,2.1022152444e+08,3.3224706605e-04
90,2017-01-03 12:08:10.536000,2.1022204779e+08,2.4765996924e-04
91,2017-01-03 12:13:46.559000,2.1022180365e+08,3.2807366707e-04
92,2017-01-03 12:19:16.896000,2.1022217256e+08,2.6984478732e-04
93,2017-01-03 12:24:47.757000,2.1022210354e+08,3.5345228456e-04
94,2017-01-03 12:33:15.146000,2.1022203995e+08,2.9697281318e-04
95,2017-01-03 12:38:47.410000,2.1022185160e+08,2.7806269923e-04
96,2017-01-03 12:44:17.483000,2.1022136569e+08,3.2027282730e-04
97,2017-01-03 12:49:47.653000,2.1022115208e+08,3.1928898402e-04
98,2017-01-03 12:55:19.920000,2.1022126088e+08,4.2117171445e-04
99,2017-01-03 13:00:49.976000,2.1022116676e+08,3.1464698141e-04
100,2017-01-03 13:06:21.884000,2.1022129883e+08,2.4312531661e-04
101,2017-01-03 13:11:54.293000,2.1022143546e+08,3.8403972611e-04
102,2017-01-03 13:17:24.418000,2.1022142424e+08,3.7158070367e-04
103,2017-01-03 13:22:54.493000,2.1022069377e+08,3.5315250092e-04
104,2017-01-03 13:28:26.520000,2.1022106748e+08,2.9796309423e-04
105,2017-01-03 13:33:56.750000,2.1022110222e+08,3.5932812471e-04
106,2017-01-03 13:39:26.970000,2.1022067223e+08,3.1268105645e-04
107,2017-01-03 13:44:58.992000,2.1022023900e+08,3.0692412490e-04
108,2017-01-03 13:50:29.146000,2.1022063856e+08,3.0004894375e-04
109,2017-01-03 13:55:59.372000,2.1022057976e+08,3.7499234594e-04
110,2017-01-03 14:01:29.669000,2.1022078362e+08,3.5924311932e-04
111,2017-01-03 14:07:00.678000,2.1022085282e+08,3.6533464259e-04
112,2017-01-03 14:12:30.974000,2.1022079127e+08,3.7375452541e-04
113,2017-01-03 14:18:01.355000,2.1022066419e+08,3.4740991719e-04
